x,y,z
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.46999999999999975
0.0,0.0,-0.46999999999999975
0.0,0.0,-0.48
0.0,0.0,-0.46999999999999975
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.46999999999999975
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.5
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.6000000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5699999999999998
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5699999999999998
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.5899999999999999
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.56
0.0,0.0,-0.5699999999999998
0.0,0.0,-0.5699999999999998
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.5800000000000001
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.69
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6699999999999999
0.0,0.0,-0.6800000000000002
0.0,0.0,-0.6699999999999999
0.0,0.0,-0.6699999999999999
0.0,0.0,-0.6600000000000001
0.0,0.0,-0.77
0.0,0.0,-0.7600000000000002
0.0,0.0,-0.7600000000000002
0.0,0.0,-0.7400000000000002
0.0,0.0,-0.73
0.0,0.0,-0.7200000000000002
0.0,0.0,-0.7200000000000002
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8
0.0,0.0,-0.8
0.0,0.0,-0.8
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.8
0.0,0.0,-0.8
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.8
0.0,0.0,-0.8
0.0,0.0,-0.8
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.8
0.0,0.0,-0.8
0.0,0.0,-0.20999999999999974
0.0,0.0,-0.2899999999999998
0.0,0.0,-0.17999999999999994
0.0,0.0,-0.30000000000000004
0.0,0.0,-0.32000000000000006
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.030000000000000027
0.0,0.0,-0.040000000000000036
0.0,0.0,-0.7299999999999998
0.0,0.0,-0.6500000000000001
0.0,0.0,-0.8400000000000001
0.0,0.0,-0.8400000000000001
0.0,0.0,-0.8299999999999998
0.0,0.0,-0.8400000000000001
0.0,0.0,-0.8400000000000001
0.0,0.0,-0.8400000000000001
0.0,0.0,-0.8400000000000001
0.0,0.0,-0.8299999999999998
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8200000000000001
0.0,0.0,-0.8099999999999998
0.0,0.0,-0.8
0.0,0.0,-0.7899999999999998
0.0,0.0,-0.7499999999999998
0.0,0.0,-0.7099999999999997
0.0,0.0,-0.6900000000000002
0.0,0.0,-0.6599999999999999
0.0,0.0,0.25
0.0,0.0,-0.6399999999999999
0.0,0.0,-0.8299999999999998
0.0,0.0,1.4300000000000002
0.0,0.0,-0.3699999999999999
0.0,0.0,-1.84
0.0,0.0,-0.7
0.0,0.0,1.35
0.0,0.0,1.48
0.0,0.0,1.6199999999999999
0.0,0.0,1.3699999999999999
0.0,0.0,1.53
0.0,0.0,1.59
0.0,0.0,1.59
0.0,0.0,1.49
0.0,0.0,1.49
