Timestamp,Distance (cm)
2025-04-28 19:43:19.184,13.0
2025-04-28 19:43:19.308,14.0
2025-04-28 19:43:19.432,14.0
2025-04-28 19:43:19.555,12.0
2025-04-28 19:43:19.679,13.0
2025-04-28 19:43:19.802,13.0
2025-04-28 19:43:19.926,14.0
2025-04-28 19:43:20.049,13.0
2025-04-28 19:43:20.173,14.0
2025-04-28 19:43:20.297,13.0
2025-04-28 19:43:20.420,15.0
2025-04-28 19:43:20.544,14.0
2025-04-28 19:43:20.667,14.0
2025-04-28 19:43:20.791,13.0
2025-04-28 19:43:20.915,13.0
2025-04-28 19:43:21.039,13.0
2025-04-28 19:43:21.163,13.0
2025-04-28 19:43:21.286,14.0
2025-04-28 19:43:21.410,13.0
2025-04-28 19:43:21.533,14.0
2025-04-28 19:43:21.657,17.0
2025-04-28 19:43:21.781,13.0
2025-04-28 19:43:21.904,13.0
2025-04-28 19:43:22.028,15.0
2025-04-28 19:43:22.152,13.0
2025-04-28 19:43:22.275,13.0
2025-04-28 19:43:22.399,14.0
2025-04-28 19:43:22.522,14.0
2025-04-28 19:43:22.646,14.0
2025-04-28 19:43:22.769,13.0
2025-04-28 19:43:22.893,14.0
2025-04-28 19:43:23.017,14.0
2025-04-28 19:43:23.140,13.0
2025-04-28 19:43:23.264,14.0
2025-04-28 19:43:23.387,14.0
2025-04-28 19:43:23.511,14.0
2025-04-28 19:43:23.634,14.0
2025-04-28 19:43:23.758,13.0
2025-04-28 19:43:23.882,14.0
2025-04-28 19:43:24.005,14.0
2025-04-28 19:43:24.129,13.0
2025-04-28 19:43:24.252,13.0
2025-04-28 19:43:24.376,14.0
2025-04-28 19:43:24.499,14.0
2025-04-28 19:43:24.623,13.0
2025-04-28 19:43:24.747,14.0
2025-04-28 19:43:24.870,14.0
2025-04-28 19:43:24.994,12.0
2025-04-28 19:43:25.117,15.0
2025-04-28 19:43:25.241,14.0
2025-04-28 19:43:25.365,13.0
2025-04-28 19:43:25.488,15.0
2025-04-28 19:43:25.612,14.0
2025-04-28 19:43:25.735,14.0
2025-04-28 19:43:25.859,13.0
2025-04-28 19:43:25.983,14.0
2025-04-28 19:43:26.106,13.0
2025-04-28 19:43:26.230,14.0
2025-04-28 19:43:26.353,15.0
2025-04-28 19:43:26.477,14.0
2025-04-28 19:43:26.601,14.0
2025-04-28 19:43:26.724,13.0
2025-04-28 19:43:26.848,14.0
2025-04-28 19:43:26.972,14.0
2025-04-28 19:43:27.095,14.0
2025-04-28 19:43:27.219,13.0
2025-04-28 19:43:27.343,12.0
2025-04-28 19:43:27.467,15.0
2025-04-28 19:43:27.590,14.0
2025-04-28 19:43:27.714,14.0
2025-04-28 19:43:27.838,17.0
2025-04-28 19:43:27.961,13.0
2025-04-28 19:43:28.085,14.0
2025-04-28 19:43:28.209,14.0
2025-04-28 19:43:28.332,14.0
2025-04-28 19:43:28.456,13.0
2025-04-28 19:43:28.579,14.0
2025-04-28 19:43:28.703,14.0
2025-04-28 19:43:28.827,14.0
2025-04-28 19:43:28.950,13.0
2025-04-28 19:43:29.074,14.0
2025-04-28 19:43:29.197,13.0
2025-04-28 19:43:29.321,14.0
2025-04-28 19:43:29.445,13.0
2025-04-28 19:43:29.568,14.0
2025-04-28 19:43:29.692,13.0
2025-04-28 19:43:29.815,14.0
2025-04-28 19:43:29.939,13.0
2025-04-28 19:43:30.062,14.0
2025-04-28 19:43:30.186,14.0
2025-04-28 19:43:30.310,13.0
2025-04-28 19:43:30.433,13.0
2025-04-28 19:43:30.557,14.0
2025-04-28 19:43:30.680,13.0
2025-04-28 19:43:30.804,13.0
2025-04-28 19:43:30.927,13.0
2025-04-28 19:43:31.051,14.0
2025-04-28 19:43:31.175,13.0
2025-04-28 19:43:31.298,14.0
2025-04-28 19:43:31.422,14.0
2025-04-28 19:43:31.545,15.0
2025-04-28 19:43:31.669,13.0
2025-04-28 19:43:31.792,13.0
2025-04-28 19:43:31.916,13.0
2025-04-28 19:43:32.040,14.0
2025-04-28 19:43:32.163,14.0
2025-04-28 19:43:32.287,14.0
2025-04-28 19:43:32.411,14.0
2025-04-28 19:43:32.534,14.0
2025-04-28 19:43:32.658,14.0
2025-04-28 19:43:32.781,13.0
2025-04-28 19:43:32.905,13.0
2025-04-28 19:43:33.029,14.0
2025-04-28 19:43:33.153,14.0
2025-04-28 19:43:33.276,14.0
2025-04-28 19:43:33.400,13.0
2025-04-28 19:43:33.524,13.0
2025-04-28 19:43:33.647,15.0
2025-04-28 19:43:33.771,13.0
2025-04-28 19:43:33.894,13.0
2025-04-28 19:43:34.018,14.0
2025-04-28 19:43:34.141,13.0
2025-04-28 19:43:34.265,14.0
2025-04-28 19:43:34.389,14.0
2025-04-28 19:43:34.512,14.0
2025-04-28 19:43:34.636,13.0
2025-04-28 19:43:34.759,14.0
2025-04-28 19:43:34.883,12.0
2025-04-28 19:43:35.007,14.0
2025-04-28 19:43:35.130,14.0
2025-04-28 19:43:35.254,15.0
2025-04-28 19:43:35.378,13.0
2025-04-28 19:43:35.501,14.0
2025-04-28 19:43:35.625,13.0
